"var","hr","pval","hr_ci95"
"tnm_stageII",1.9,"5.37e-01","0.2 to 15.4"
"tnm_stageIII",1.9,"5.02e-01","0.3 to 11.7"
"tnm_stageIV",6.4,"4.18e-02","1.1 to 37.9"
"OVOL1_cna",1.3,"8.00e-01","0.2 to 9.6"
"age.cat>=65",16.4,"1.04e-04","4 to 67.2"
"gendermale",1.2,"7.64e-01","0.3 to 4.5"
"tnm_stageII",1.9,"5.41e-01","0.2 to 15.1"
"tnm_stageIII",1.7,"5.52e-01","0.3 to 10.9"
"tnm_stageIV",6.4,"4.05e-02","1.1 to 38.2"
"LAG3_cna",0,"5.05e-01","0 to 650.4"
"age.cat>=65",16.5,"9.39e-05","4 to 67.3"
"gendermale",1.1,"8.75e-01","0.3 to 3.8"
"tnm_stageII",1.9,"5.34e-01","0.2 to 15.4"
"tnm_stageIII",1.9,"4.80e-01","0.3 to 11.9"
"tnm_stageIV",6.3,"4.34e-02","1.1 to 37.2"
"ARID2_cna",0,"9.98e-01","0 to Inf"
"age.cat>=65",16.4,"9.27e-05","4 to 66.9"
"gendermale",1.1,"8.82e-01","0.3 to 3.8"
"tnm_stageII",1.9,"5.38e-01","0.2 to 15.3"
"tnm_stageIII",1.9,"4.81e-01","0.3 to 11.8"
"tnm_stageIV",6.2,"4.39e-02","1.1 to 36.7"
"ARID2_mut",NA," NA","NA to NA"
"age.cat>=65",16.2,"1.08e-04","4 to 66.3"
"gendermale",1.2,"8.14e-01","0.3 to 4"
"tnm_stageII",1.9,"5.42e-01","0.2 to 15.1"
"tnm_stageIII",1.8,"5.34e-01","0.3 to 11"
"tnm_stageIV",6.3,"4.19e-02","1.1 to 37.7"
