"var","hr","pval","hr_ci95"
"age.cat>=65",1.7,"2.08e-01","0.7 to 3.9"
"gendermale",0.7,"2.13e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.07e-01","0.6 to 12.2"
"tnm_stageIII",4.5,"5.01e-02","1 to 20.1"
"tnm_stageIV",11.6,"1.23e-03","2.6 to 51.6"
"TAP1_cna",1.6,"1.46e-01","0.9 to 2.9"
"age.cat>=65",1.8,"1.79e-01","0.8 to 4.1"
"gendermale",0.6,"1.24e-01","0.3 to 1.2"
"tnm_stageII",3,"1.55e-01","0.7 to 14.1"
"tnm_stageIII",4.7,"4.44e-02","1 to 21"
"tnm_stageIV",13.3,"7.68e-04","2.9 to 59.9"
"TAP1_mut",2.3,"1.24e-02","1.2 to 4.4"
"age.cat>=65",1.8,"1.80e-01","0.8 to 4.1"
"gendermale",0.6,"1.46e-01","0.3 to 1.2"
"tnm_stageII",3.2,"1.54e-01","0.6 to 16.1"
"tnm_stageIII",5.8,"3.34e-02","1.1 to 29.5"
"tnm_stageIV",15.4,"9.31e-04","3.1 to 77.8"
"IFNGR1_cna",1,"9.39e-01","0.6 to 1.9"
"age.cat>=65",1.7,"2.14e-01","0.7 to 3.9"
"gendermale",0.7,"2.12e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.06e-01","0.6 to 12.3"
"tnm_stageIII",4.5,"4.98e-02","1 to 20.1"
"tnm_stageIV",11.7,"1.21e-03","2.6 to 51.9"
"MUC17_cna",1.5,"2.24e-01","0.8 to 2.8"
"age.cat>=65",1.7,"1.99e-01","0.8 to 3.9"
"gendermale",0.6,"1.93e-01","0.3 to 1.2"
"tnm_stageII",3,"1.64e-01","0.6 to 13.7"
"tnm_stageIII",4.5,"5.10e-02","1 to 19.9"
"tnm_stageIV",11.4,"1.37e-03","2.6 to 50.3"
"MUC17_mut",0,"9.96e-01","0 to Inf"
"age.cat>=65",1.8,"1.81e-01","0.8 to 4.1"
"gendermale",0.6,"1.78e-01","0.3 to 1.2"
"tnm_stageII",2.7,"2.05e-01","0.6 to 12.3"
"tnm_stageIII",4.8,"4.04e-02","1.1 to 21.5"
"tnm_stageIV",11.7,"1.20e-03","2.6 to 51.9"
"MET_cna",1.3,"3.50e-01","0.7 to 2.4"
"age.cat>=65",1.7,"2.01e-01","0.7 to 3.9"
"gendermale",0.6,"1.77e-01","0.3 to 1.2"
"tnm_stageII",2.8,"1.81e-01","0.6 to 13.1"
"tnm_stageIII",4.4,"5.17e-02","1 to 19.8"
"tnm_stageIV",11.8,"1.17e-03","2.7 to 52.3"
"IDO1_cna",0.9,"7.77e-01","0.6 to 1.5"
"age.cat>=65",1.7,"1.98e-01","0.7 to 4"
"gendermale",0.7,"2.10e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.03e-01","0.6 to 12.3"
"tnm_stageIII",4.5,"4.94e-02","1 to 20.1"
"tnm_stageIV",11.7,"1.21e-03","2.6 to 51.8"
"JAK2_cna",1.5,"1.73e-01","0.8 to 2.5"
"age.cat>=65",1.7,"1.96e-01","0.8 to 4"
"gendermale",0.7,"2.27e-01","0.3 to 1.3"
"tnm_stageII",2.6,"2.18e-01","0.6 to 11.9"
"tnm_stageIII",4.3,"5.63e-02","1 to 19.4"
